WORD,FROM,TO,SPEAKER,SPOKEN_TIME,LABEL
hi,2.41,2.62,0,0.21,0
John,2.62,2.97,0,0.35,0
it's,2.97,3.09,0,0.12,0
nice,3.09,3.31,0,0.22,0
to,3.31,3.41,0,0.1,0
see,3.41,3.69,0,0.28,0
home,3.69,3.99,0,0.3,0
again,3.99,4.49,0,0.5,0
hello,4.61,4.83,1,0.22,0
how,5.95,6.18,0,0.23,0
you,6.18,6.35,0,0.17,0
doing,6.35,6.89,0,0.54,0
%HESITATION,7.45,7.79,1,0.34,0
a,7.79,7.88,1,0.09,0
case,7.88,8.37,1,0.49,0
yeah,8.4,8.69,1,0.29,0
let's,8.72,8.98,1,0.26,0
be,8.98,9.12,1,0.14,0
yeah,9.45,9.84,0,0.39,0
but,9.84,10.05,0,0.21,0
you,10.05,10.18,0,0.13,0
are,10.18,10.45,0,0.27,0
you,10.45,10.6,0,0.15,0
in,10.6,10.82,0,0.22,0
for,10.82,11.09,0,0.27,0
a,11.09,11.13,0,0.04,0
long,11.13,11.28,0,0.15,0
time,11.28,11.64,0,0.36,0
and,11.64,11.91,0,0.27,0
when,11.91,12.11,0,0.2,0
you,12.11,12.49,0,0.38,0
ten,12.87,13.14,1,0.27,0
days,13.14,13.49,1,0.35,0
yeah,13.69,14.08,1,0.39,0
yeah,14.21,14.39,1,0.18,0
and,14.65,14.89,0,0.24,0
I,14.89,14.97,0,0.08,0
know,14.97,15.12,0,0.15,0
you,15.12,15.25,0,0.13,0
hate,15.25,15.52,0,0.27,0
hospitals,15.52,16.24,0,0.72,0
like,16.24,16.36,0,0.12,0
to,16.36,16.71,0,0.35,0
attend,16.87,17.3,1,0.43,0
really,17.36,17.64,1,0.28,0
looked,17.64,17.93,1,0.29,0
up,17.93,18.04,1,0.11,0
to,18.04,18.19,1,0.15,0
is,18.19,18.37,1,0.18,0
that,18.59,18.76,1,0.17,0
right,18.76,18.94,1,0.18,0
I,20.28,20.42,0,0.14,0
know,20.42,20.76,0,0.34,0
well,20.95,21.32,0,0.37,0
that's,21.32,21.59,0,0.27,0
C.,21.59,21.84,0,0.25,0
has,21.84,22.19,0,0.35,0
and,22.82,23.51,0,0.69,0
so,23.82,24.51,0,0.69,0
%HESITATION,24.74,25.37,0,0.63,0
how,26,26.18,0,0.18,0
are,26.18,26.26,0,0.08,0
you,26.26,26.35,0,0.09,0
feeling,26.35,26.71,0,0.36,0
you,26.71,26.82,0,0.11,0
south,26.82,27.11,0,0.29,0
nine,27.11,27.32,0,0.21,0
you,27.32,27.42,0,0.1,0
are,27.42,27.6,0,0.18,0
home,27.6,28.14,0,0.54,0
%HESITATION,28.3,28.77,1,0.47,0
well,28.98,29.39,1,0.41,0
I'm,30.28,30.43,1,0.15,0
still,30.43,30.69,1,0.26,0
processing,30.91,31.64,1,0.73,0
yeah,31.67,32.13,0,0.46,0
but,32.45,32.62,1,0.17,0
makeups,32.62,33,1,0.38,0
it,33,33.19,1,0.19,0
better,33.19,33.44,1,0.25,0
so,33.44,33.76,1,0.32,0
that,34.41,34.61,0,0.2,0
X.,36.05,36.42,0,0.37,0
and,37.31,37.77,0,0.46,0
Sir,37.86,38.04,0,0.18,0
John,38.04,38.24,0,0.2,0
office,38.24,38.57,0,0.33,0
wondering,38.57,39.13,0,0.56,0
what,39.16,39.53,0,0.37,0
they,39.6,39.8,0,0.2,0
told,39.8,40.27,0,0.47,0
you,40.27,40.4,0,0.13,0
in,40.4,40.52,0,0.12,0
hospital,40.52,41.09,0,0.57,0
have,41.09,41.34,0,0.25,0
have,41.37,41.58,0,0.21,0
to,41.58,41.68,0,0.1,0
chat,41.68,42.09,0,0.41,0
to,42.09,42.23,0,0.14,0
you,42.23,42.29,0,0.06,0
about,42.29,42.49,0,0.2,0
what,42.49,42.71,0,0.22,0
what,42.78,42.97,0,0.19,0
they,42.97,43.04,0,0.07,0
found,43.04,43.41,0,0.37,0
when,43.41,43.56,0,0.15,0
you,43.56,43.68,0,0.12,0
and,43.68,43.91,0,0.23,0
%HESITATION,44.26,44.87,1,0.61,0
yeah,44.97,45.22,1,0.25,0
they,45.22,45.39,1,0.17,0
said,45.39,45.68,1,0.29,0
I'd,45.68,45.86,1,0.18,0
long,45.86,46.04,1,0.18,0
cancer,46.04,46.61,1,0.57,0
and,46.61,46.87,1,0.26,0
%HESITATION,47.38,47.83,1,0.45,0
they,48.09,48.23,1,0.14,0
did,48.23,48.4,1,0.17,0
some,48.4,48.57,1,0.17,0
tests,48.57,49.32,1,0.75,0
not,49.67,49.94,1,0.27,0
quite,49.94,50.28,1,0.34,0
sure,50.28,50.45,1,0.17,0
what,50.45,50.65,1,0.2,0
the,50.65,50.84,1,0.19,0
what,51.89,52.05,1,0.16,0
the,52.05,52.13,1,0.08,0
outcome,52.13,52.54,1,0.41,0
was,52.54,53.11,1,0.57,0
that,53.14,53.31,1,0.17,0
they,53.31,53.45,1,0.14,0
suggested,53.45,54.18,1,0.73,0
that,54.18,54.29,1,0.11,0
there,54.29,54.42,1,0.13,0
was,54.42,54.58,1,0.16,0
maybe,54.58,54.9,1,0.32,0
some,54.9,55.08,1,0.18,0
other,55.08,55.36,1,0.28,0
complications,55.55,56.77,1,1.22,0
other,57.32,57.6,1,0.28,0
than,57.6,57.78,1,0.18,0
lung,57.78,58.02,1,0.24,0
cancer,58.02,58.49,1,0.47,0
bye,58.86,59.18,0,0.32,0
okay,59.28,59.93,0,0.65,0
so,61.41,61.93,0,0.52,0
was,62.8,62.99,0,0.19,0
that,62.99,63.23,0,0.24,0
something,63.23,63.52,0,0.29,0
you,63.52,63.66,0,0.14,0
expect,63.66,64.12,0,0.46,0
to,64.12,64.28,0,0.16,0
win,64.28,64.43,0,0.15,0
you,64.43,64.54,0,0.11,0
into,64.54,64.97,0,0.43,0
question,65.45,65.98,0,0.53,0
oxy,65.98,66.51,0,0.53,0
well,66.54,67,1,0.46,0
I,67.78,67.88,1,0.1,0
guess,67.88,68.11,1,0.23,0
you,68.11,68.25,1,0.14,0
always,68.25,68.47,1,0.22,0
wonder,68.47,68.77,1,0.3,0
then,68.77,68.94,1,0.17,0
you've,68.94,69.2,1,0.26,0
got,69.2,69.39,1,0.19,0
%HESITATION,69.39,69.7,1,0.31,0
yeah,69.73,70.14,0,0.41,0
when,70.95,71.1,1,0.15,0
you,71.1,71.16,1,0.06,0
get,71.16,71.31,1,0.15,0
to,71.31,71.4,1,0.09,0
my,71.4,71.58,1,0.18,0
age,71.58,71.86,1,0.28,0
and,71.86,71.95,1,0.09,0
you,71.95,72.02,1,0.07,0
gotta,72.02,72.4,1,0.38,0
buy,72.61,72.81,1,0.2,0
chest,72.81,73.43,1,0.62,0
and,73.43,73.58,1,0.15,0
you,73.58,73.77,1,0.19,0
see,74.11,74.39,1,0.28,0
people,74.39,74.68,1,0.29,0
around,74.68,75.04,1,0.36,0
you,75.04,75.15,1,0.11,0
with,75.15,75.37,1,0.22,0
things,76.43,76.74,1,0.31,0
like,76.74,76.89,1,0.15,0
that,76.89,77.09,1,0.2,0
you,77.12,77.28,1,0.16,0
kind,77.28,77.44,1,0.16,0
of,77.44,77.52,1,0.08,0
want,77.52,77.75,1,0.23,0
to,77.75,77.98,1,0.23,0
you,78.07,78.19,1,0.12,0
can,78.19,78.31,1,0.12,0
always,78.31,78.55,1,0.24,0
be,78.55,78.71,1,0.16,0
that,78.71,78.91,1,0.2,0
as,78.96,79.16,1,0.2,0
it,79.16,79.3,1,0.14,0
you,79.39,79.55,1,0.16,0
know,79.55,79.71,1,0.16,0
C.,79.74,80.07,0,0.33,0
upset,80.97,81.4,1,0.43,0
to,81.4,81.5,1,0.1,0
find,81.5,81.72,1,0.22,0
out,81.72,81.86,1,0.14,0
it,81.86,82.02,1,0.16,0
was,82.02,82.35,1,0.33,0
but,82.35,82.72,1,0.37,0
%HESITATION,82.72,83.04,1,0.32,0
yeah,83.07,83.36,1,0.29,0
let,83.4,83.52,1,0.12,0
me,83.52,83.59,1,0.07,0
get,83.59,83.77,1,0.18,0
okay,85.23,85.59,0,0.36,0
so,85.59,85.81,0,0.22,0
you,85.81,86.02,0,0.21,0
said,86.02,86.44,0,0.42,0
that,86.59,86.86,0,0.27,0
they,87.01,87.13,0,0.12,0
told,87.13,87.46,0,0.33,0
you,87.46,87.55,0,0.09,0
that,87.55,87.69,0,0.14,0
you,87.69,87.77,0,0.08,0
have,87.77,87.94,0,0.17,0
lung,87.94,88.13,0,0.19,0
cancer,88.13,88.82,0,0.69,0
yes,88.89,89.19,1,0.3,0
and,89.53,90.17,0,0.64,0
D.,90.58,90.75,0,0.17,0
C.,90.75,91.01,0,0.26,0
legal,91.01,91.26,0,0.25,0
only,91.26,91.57,0,0.31,0
information,91.57,92.22,0,0.65,0
needs,92.22,92.54,0,0.32,0
about,92.54,92.85,0,0.31,0
that,92.85,93.08,0,0.23,0
to,93.08,93.17,0,0.09,0
the,93.17,93.31,0,0.14,0
tools,93.31,93.68,0,0.37,0
that,93.68,93.83,0,0.15,0
would,93.83,93.95,0,0.12,0
be,93.95,94.06,0,0.11,0
some,94.06,94.23,0,0.17,0
passes,94.23,94.65,0,0.42,0
that,94.65,94.82,0,0.17,0
done,94.82,95.08,0,0.26,0
when,95.08,95.22,0,0.14,0
you,95.22,95.32,0,0.1,0
in,95.32,95.48,0,0.16,0
her,95.48,95.58,0,0.1,0
office,95.58,95.92,0,0.34,0
so,95.92,96.22,0,0.3,0
they,96.25,96.43,1,0.18,0
didn't,96.43,96.64,1,0.21,0
go,96.64,96.73,1,0.09,0
into,96.73,96.89,1,0.16,0
much,96.89,97.09,1,0.2,0
detail,97.09,97.52,1,0.43,0
they,97.52,97.7,1,0.18,0
told,97.76,98.06,1,0.3,0
me,98.06,98.22,1,0.16,0
that,98.22,98.53,1,0.31,0
it,99.41,99.57,1,0.16,0
looked,99.57,99.76,1,0.19,0
like,99.76,99.94,1,0.18,0
the,99.94,100.04,1,0.1,0
council,100.04,100.43,1,0.39,0
wasn't,100.43,100.73,1,0.3,0
